"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 14 13:59:03 GMT 2025","Thu Aug 14 13:59:03 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"passed","Thu Aug 14 13:57:23 GMT 2025","Thu Aug 14 13:57:40 GMT 2025","17208","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Thu Aug 14 13:56:03 GMT 2025","Thu Aug 14 13:56:21 GMT 2025","18080","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"broken","Thu Aug 14 13:56:53 GMT 2025","Thu Aug 14 13:57:12 GMT 2025","18939","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"passed","Thu Aug 14 13:57:33 GMT 2025","Thu Aug 14 13:57:50 GMT 2025","16827","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"passed","Thu Aug 14 13:57:42 GMT 2025","Thu Aug 14 13:58:07 GMT 2025","25088","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","grantPortalAccess","grantPortalAccess",""
"passed","Thu Aug 14 13:54:17 GMT 2025","Thu Aug 14 13:54:35 GMT 2025","18092","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Thu Aug 14 13:54:37 GMT 2025","Thu Aug 14 13:54:56 GMT 2025","19107","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Thu Aug 14 14:00:04 GMT 2025","Thu Aug 14 14:00:23 GMT 2025","19973","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Thu Aug 14 13:59:18 GMT 2025","Thu Aug 14 13:59:38 GMT 2025","20247","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"passed","Thu Aug 14 13:59:05 GMT 2025","Thu Aug 14 13:59:26 GMT 2025","21285","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Thu Aug 14 13:58:19 GMT 2025","Thu Aug 14 13:58:41 GMT 2025","22505","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"passed","Thu Aug 14 13:54:00 GMT 2025","Thu Aug 14 13:54:19 GMT 2025","18692","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"passed","Thu Aug 14 13:59:50 GMT 2025","Thu Aug 14 14:00:11 GMT 2025","21296","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"passed","Thu Aug 14 13:54:21 GMT 2025","Thu Aug 14 13:54:40 GMT 2025","19062","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"passed","Thu Aug 14 13:59:28 GMT 2025","Thu Aug 14 13:59:48 GMT 2025","19791","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Thu Aug 14 13:56:43 GMT 2025","Thu Aug 14 13:57:00 GMT 2025","17448","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"passed","Thu Aug 14 13:53:28 GMT 2025","Thu Aug 14 13:53:46 GMT 2025","18250","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Thu Aug 14 13:55:48 GMT 2025","Thu Aug 14 13:56:09 GMT 2025","20903","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"passed","Thu Aug 14 13:53:54 GMT 2025","Thu Aug 14 13:54:15 GMT 2025","20705","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"passed","Thu Aug 14 13:57:52 GMT 2025","Thu Aug 14 13:58:17 GMT 2025","25065","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"passed","Thu Aug 14 13:56:23 GMT 2025","Thu Aug 14 13:56:41 GMT 2025","18141","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"passed","Thu Aug 14 13:55:19 GMT 2025","Thu Aug 14 13:55:37 GMT 2025","18397","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"passed","Thu Aug 14 13:57:02 GMT 2025","Thu Aug 14 13:57:21 GMT 2025","18778","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Thu Aug 14 13:58:54 GMT 2025","Thu Aug 14 13:59:16 GMT 2025","21830","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrationPortalUserTest","testcase.RegistrationPortalUserTest","registrationPortalUserUpdation","registrationPortalUserUpdation",""
"passed","Thu Aug 14 13:55:03 GMT 2025","Thu Aug 14 13:55:22 GMT 2025","19447","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
